Wilayah Jawa Barat;Indeks Pembangunan Manusia;;
;2020;2021;2022
Provinsi Jawa Barat;72.09;72.45;73.12
Bogor;70.40;70.60;71.20
Sukabumi;66.88;67.07;67.64
Cianjur;65.36;65.56;65.94
Bandung;72.39;72.73;73.16
Garut;66.12;66.45;67.41
Tasikmalaya;65.67;65.90;66.84
Ciamis;70.49;70.93;71.45
Kuningan;69.38;69.71;70.16
Cirebon;68.75;69.12;70.06
Majalengka;67.59;67.81;68.56
Sumedang;71.64;71.80;72.69
Indramayu;67.29;67.64;68.55
Subang;68.95;69.13;69.87
Purwakarta;70.82;70.98;71.56
Karawang;70.66;70.94;71.74
Bekasi;74.07;74.45;75.22
Bandung Barat;68.08;68.29;69.04
Pangandaran;68.06;68.28;69.03
Kota Bogor;76.11;76.59;77.17
Kota Sukabumi;74.21;74.60;75.40
Kota Bandung;81.51;81.96;82.50
Kota Cirebon;74.89;75.25;75.89
Kota Bekasi;81.50;81.95;82.46
Kota Depok;80.97;81.37;81.86
Kota Cimahi;77.83;78.06;78.77
Kota Tasikmalaya;73.04;73.31;73.83
Kota Banjar;71.70;71.92;72.55
Sumber: BPS;;;
;;;
Source Url: https://jabar.bps.go.id/indicator/26/123/1/indeks-pembangunan-manusia.html;;;
Access Time: November 6, 2023, 9:32 am;;;
